id,Rank,PerCapitaRank,Country,TotalPrize,NumPlayers,Population,PrizePerMillion,PlayersPerMillion,TopGame,TopGamePct
248,146,152,Åland Islands,3920.2,19,5583911,702.05,3.4,Heroes of Newerth,69.83
638,117,153,Reunion,45605.23,37,68372286,667.01,0.54,Rocket League,100.0
44,168,154,Bahamas,263.0,1,400516,656.65,2.5,Yu-Gi-Oh! Duel Links,100.0
84,169,155,Belize,250.0,1,411106,608.12,2.43,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,100.0
659,179,156,Saint Kitts and Nevis,20.0,1,47657,419.67,20.98,Lichess,100.0
384,129,157,Côte D'Ivoire,10909.22,7,31165654,350.04,0.22,Tekken 7,66.0
762,149,158,Tajikistan,3475.0,1,10389799,334.46,0.1,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,100.0
28,177,159,Antigua and Barbuda,28.42,1,93316,304.56,10.72,Fortnite,100.0
716,145,160,Zimbabwe,4360.0,2,16340822,266.82,0.12,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,97.71
266,162,161,Gabon,540.5,1,2484789,217.52,0.4,Fortnite,100.0
231,123,162,Ethiopia,24869.95,2,128691692,193.25,0.02,Overwatch,95.17
332,153,163,Haiti,1900.0,1,11637398,163.27,0.09,Fortnite,100.0
478,160,164,Mauritania,759.0,1,5022441,151.12,0.2,Hearthstone,100.0
450,144,165,Madagascar,4458.0,8,31195932,142.9,0.26,Tekken 7,53.84
566,119,166,Nigeria,32186.71,8,227882945,141.24,0.04,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,53.09
72,166,167,Botswana,338.49,2,2480244,136.47,0.81,VALORANT,68.93
312,132,168,Guadeloupe,8888.64,1,68372286,130.0,0.01,FIFA 18,93.72
729,136,169,Sudan,6455.84,4,50042791,129.01,0.08,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,98.45
768,158,170,Togo,1200.0,1,9304337,128.97,0.11,Tekken 7,100.0
288,148,171,Ghana,3649.89,6,33787914,108.02,0.18,FIFA 19,76.95
894,155,172,Zambia,1635.44,2,20723965,78.92,0.1,Mortal Kombat 11,74.85
581,122,173,US Minor Outlying Islands,25105.0,3,336806231,74.54,0.01,Battlefield 2: Modern Combat,99.58
508,151,174,Mozambique,2345.69,5,33635160,69.74,0.15,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,81.85
834,143,175,Tanzania,4500.0,1,66617606,67.55,0.02,Magic: The Gathering Arena,100.0
404,152,176,Kenya,2304.94,6,55339003,41.65,0.11,Overwatch,64.32
24,156,177,Angola,1400.0,5,36749906,38.1,0.14,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,85.71
800,171,178,Uganda,149.66,2,48656601,3.08,0.04,Minecraft,66.82
598,178,179,Papua New Guinea,25.0,1,10389635,2.41,0.1,Diabotical,100.0
652,180,180,Saint Barthélemy,7.63,1,68372286,0.11,0.01,Tetr.io,100.0
